Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2021-08-23,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-08-24,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-08-25,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-26,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-08-27,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-08-28,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-08-29,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-08-30,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2021-08-31,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-11-01,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-11-02,Winter,Offshore Wind,2,Onshore Wind,1,Solar,0
2021-11-03,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-11-04,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-11-05,Winter,Offshore Wind,0,Onshore Wind,0,Solar,0
2021-11-06,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-11-07,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-11-08,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-11-09,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-11-10,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-11-11,Winter,Offshore Wind,2,Onshore Wind,1,Solar,2
2021-11-12,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-13,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-14,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-15,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-16,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-17,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-11-18,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-11-19,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-11-20,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-11-21,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-11-22,Winter,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-11-23,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-11-24,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-11-25,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-11-26,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-11-27,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-11-28,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-29,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-11-30,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-12-01,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-02,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-12-03,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-12-04,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-12-05,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-12-06,Winter,Offshore Wind,0,Onshore Wind,2,Solar,1
2021-12-07,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-12-08,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-12-09,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-12-10,Winter,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-12-11,Winter,Offshore Wind,0,Onshore Wind,0,Solar,2
2021-12-12,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-12-13,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-14,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-12-15,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
